,Company name,City,Region,Date of incorporation,Release date,"Fixed assets
th EUR
2019","Fixed assets
th EUR
2018","Fixed assets
th EUR
2017","Fixed assets
th EUR
2016","Fixed assets
th EUR
2015","Fixed assets
th EUR
2014","Fixed assets
th EUR
2013","Fixed assets
th EUR
2012","Fixed assets
th EUR
2011","Fixed assets
th EUR
2010","Number of employees
2019","Number of employees
2018","Number of employees
2017","Number of employees
2016","Number of employees
2015","Number of employees
2014","Number of employees
2013","Number of employees
2012","Number of employees
2011","Number of employees
2010","Costs of employees
th EUR
2019","Costs of employees
th EUR
2018","Costs of employees
th EUR
2017","Costs of employees
th EUR
2016","Costs of employees
th EUR
2015","Costs of employees
th EUR
2014","Costs of employees
th EUR
2013","Costs of employees
th EUR
2012","Costs of employees
th EUR
2011","Costs of employees
th EUR
2010","Material costs
th EUR
2019","Material costs
th EUR
2018","Material costs
th EUR
2017","Material costs
th EUR
2016","Material costs
th EUR
2015","Material costs
th EUR
2014","Material costs
th EUR
2013","Material costs
th EUR
2012","Material costs
th EUR
2011","Material costs
th EUR
2010","Sales
th EUR
2019","Sales
th EUR
2018","Sales
th EUR
2017","Sales
th EUR
2016","Sales
th EUR
2015","Sales
th EUR
2014","Sales
th EUR
2013","Sales
th EUR
2012","Sales
th EUR
2011","Sales
th EUR
2010"
1.,BASF SE,LUDWIGSHAFEN,Ludwigshafen am Rhein,06/04/1865,04/2020,51961000,n.a.,44173000,46827000,42759000,40248000,36370000,32875000,32585000,32767000,116389,n.a.,111540,109137,110307,109760,109205,107505,110208,103449,10924000,n.a.,10610000,10165000,9982000,9224000,9285000,8963000,8576000,8228000,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,59316000,n.a.,61223000,57550000,70449000,74326000,73973000,72129000,73497000,63873000
2.,BAYER AKTIENGESELLSCHAFT,LEVERKUSEN,Leverkusen,1861,04/2020,86836000,90809000,39699000,43642000,43968000,42651000,28994000,28880000,30961000,31186000,106092,106092,99762,99988,117330,113116,110048,111130,112459,111314,11788000,11548000,9528000,9459000,11176000,9693000,9430000,9194000,8726000,8099000,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,43545000,36742000,35015000,34943000,46085000,41339000,40157000,39741000,36528000,35088000
3.,HENKEL AG & CO. KGAA,DöSSELDORF,DÅsseldorf,1876,04/2020,21149000,19742000,18710000,18486000,14376000,13077000,10507000,10983000,11052000,10878000,52650,53450,51950,49950,49850,47800,46800,46800,47753,48141,3195000,3128000,3167000,3001000,3047000,2598000,2570000,2643000,2522000,2487000,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,20114000,19899000,20029000,18714000,18089000,16428000,16355000,16510000,15605000,15092000
4.,MERCK KOMMANDITGESELLSCHAFT AUF AKTIEN,DARMSTADT,Darmstadt,06/07/1995,04/2020,n.a.,25812000,26411000,29226000,29430000,14466600,12592200,13995200,14938000,16077800,n.a.,53760,51990,50242,41511,38930,38282,39939,40570,36347,n.a.,n.a.,4843000,4356000,3635000,3164900,3126400,3564500,2973700,2596900,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,14836000,15327000,15024000,12845000,11362800,11095100,11172900,10276400,9290600
5.,EVONIK INDUSTRIES AG,ESSEN,Essen,19/09/1969,04/2020,n.a.,13226000,12817000,9576000,9130000,9049000,9431000,10647000,10382000,10137000,n.a.,36201,35803,33905,33259,33102,32472,33471,34634,39122,n.a.,3595000,3374000,3128000,3121000,2749000,2848000,n.a.,2628000,2732000,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,15024000,14419000,12732000,13507000,12917000,12708000,13365000,14540000,13300000
6.,LANXESS AKTIENGESELLSCHAFT,KôLN,Kîln,28/10/1999,04/2020,n.a.,n.a.,5837000,4025000,3759000,3666000,3251000,3410000,3083000,2378000,n.a.,n.a.,18527,16642,16310,16807,17430,16962,15849,14475,n.a.,n.a.,1663000,1467000,1432000,1457000,1339000,1392000,1244000,1141000,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,9664000,7699000,7902000,8006000,8300000,9094000,8775000,7120000
7.,BEIERSDORF AKTIENGESELLSCHAFT,HAMBURG,"Hamburg, Freie und Hansestadt",1922,04/2020,5011000,4063000,3698000,3056000,2491000,2142000,1765000,1582000,1493000,1460000,20455,19659,18595,17846,17709,17157,16573,16963,18128,20519,1476000,1340000,n.a.,1184000,1170000,1106000,1025000,981000,1000000,974000,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,7653000,7233000,7056000,6752000,6686000,6285000,6141000,6040000,5633000,5571000
8.,B. BRAUN MELSUNGEN AKTIENGESELLSCHAFT,MELSUNGEN,Schwalm-Eder,01/09/1839,04/2020,n.a.,5938958,5471433,5050345,4593899,4178980,3801888,3162714,2887574,2574228,n.a.,62855,59851,56849,54770,52196,48267,45381,42739,40316,n.a.,2651657,2552782,2388122,2259918,2031289,1885298,1834367,1648867,1581672,n.a.,2745563,2600331,2465157,2343855,2095815,1941831,1876839,1677357,1592717,n.a.,6908099,6788868,6470978,6129770,5429574,5169545,5047846,4609439,4422813
9.,ABBVIE DEUTSCHLAND GMBH & CO. KG,WIESBADEN,Wiesbaden,04/06/2012,04/2020,n.a.,123589,123282,121450,122442,121229,107718,n.a.,n.a.,n.a.,n.a.,2844,2839,2925,2852,2681,2530,n.a.,n.a.,n.a.,n.a.,342579,372479,316426,330190,285129,238368,n.a.,n.a.,n.a.,n.a.,6378305,2396079,1981555,1911428,826716,821784,n.a.,n.a.,n.a.,n.a.,7145779,3171565,2559920,2304389,1144210,1070144,n.a.,n.a.,n.a.
10.,SANOFI-AVENTIS DEUTSCHLAND GMBH,FRANKFURT,Frankfurt am Main,30/10/1995,04/2020,n.a.,6420904,6957342,2433317,2049678,1617884,1552470,1478894,1391718,1382946,n.a.,8532,8536,8257,8011,7403,7336,7456,7539,7922,n.a.,965837,899920,779559,895386,714899,696917,704431,677077,719978,n.a.,1134138,841083,786027,771374,766090,701129,714733,913551,1020740,n.a.,4828290,4753711,4723440,3747433,6080668,5559958,5356983,4745970,4733365
