|ID|name|fa_18|fa_17|fa_16|fa_15|fa_14|fa_13|fa_12|fa_11|fa_10|em_18|em_17|em_16|em_15|em_14|em_13|em_12|em_11|em_10|ec_18|ec_17|ec_16|ec_15|ec_14|ec_13|ec_12|ec_11|ec_10|mc_18|mc_17|mc_16|mc_15|mc_14|mc_13|mc_12|mc_11|mc_10|s_18|s_17|s_16|s_15|s_14|s_13|s_12|s_11|s_10|year_cor
0|10|SANOFI-AVENTIS DEUTSCHLAND GMBH|5631132.808000001|6025058.171999999|2058586.1819999998|1727878.554|1363876.2119999998|1279235.2800000003|1243749.8539999998|1199660.9160000002|1098059.124|11161562.4|11156552.0|10784467.7|10492807.799999999|9675721.0|9536066.4|9768105.6|10005760.8|10487143.6|952893.5295568559|893738.3100223424|778520.9720372863|895311.3907174433|727350.1939237232|712509.3180061204|721538.8970936164|704058.8341345452|755469.8732394365|1118939.0775302183|835305.4704957351|784980.3595206417|771309.7241896535|779432.7731092436|716815.5542543993|732091.0927208083|949956.4332896374|1071058.1690140844|4763584.641946903|4721057.022262667|4717150.466045289|3747120.739938351|6186573.276764659|5684352.4877749765|5487083.341830857|4935099.117290245|4966699.894366196|1995
1|12|ROCHE DIAGNOSTICS GMBH|2306200.419|2192957.9439999997|2060684.2619999999|1753370.031|1751851.7879999997|1576591.3360000001|1478922.0479999997|1517323.4320000003|1411304.8280000002|14188737.200000001|14276361.0|13458054.399999999|13632398.4|14624023.0|14118213.9|13791422.7|13755100.8|14534000.2|1319889.500945495|1097298.3530580117|860288.9480692438|1052753.27056079|1035207.2662217648|911279.1307768662|920668.3134682163|870342.3620424336|826185.0633802817|2185350.6536216466|2126604.9822063986|2146858.521970713|1938473.4605449613|2092726.4810582951|2018066.7035666415|2053885.2157932536|2048883.9240746312|1656555.7676056335|4764233.823892148|4539223.702722819|4438810.585885501|3805093.9088409427|4268207.603084571|4201186.371558352|3994694.3651660206|4123635.168347602|3505619.535211267|1859
2|13|BASELL POLYOLEFINE GMBH|461529.14300000004|432709.024|412162.74|443223.26699999993|469395.888|513023.22400000005|548619.622|585666.936|598609.304|2557531.0|2650596.0|2603057.3|2597333.4|2441476.0|2885778.0|3104937.0|3182625.6|3320090.4|248234.15275836637|246502.02764214104|190196.40479360917|241517.8735105416|200493.15576718224|214288.41676234733|265746.93716680614|225893.9957359151|218702.6197183098|3027691.852339071|2705884.3002565494|2239665.7789613926|2545186.901091584|3716301.7653431897|3840528.862032212|4275094.739591864|4260448.294191607|3634248.5070422534|4075815.8349091643|4129242.406687067|3662062.2503329017|3733804.849595879|4638467.929750447|4572702.507673517|4985369.56220361|5050186.647342971|4406032.830985915|1953
3|17|REHAU AG + CO.|559668.86067777|535271.67184616|458176.311388494|380864.48111249995|315251.17546053|305984.02834128|309642.13591494993|275370.97995564|242532.22833418|12974727.6|11329076.0|10827569.0|10740360.0|10564481.0|10287408.600000001|10453287.899999999|10220767.200000001|9213648.0|569188.6763495867|522753.3165902491|489685.01174101356|475826.592403968|457466.97398840997|444515.9569544482|433809.8669902828|409667.53283210355|374352.6446992957|1129474.4364975784|1108727.1570801914|985910.8661384853|933596.2890292507|916742.550634827|887771.4834561934|868770.39134123|822640.045433765|693650.177659014|2063863.9213812454|1983738.418068354|1887356.3292942806|1800579.9669694253|1713110.30662402|1614577.302323646|1533397.0971273007|1575744.7299078202|1354333.395595352|1948
4|22|MSD SHARP & DOHME GESELLSCHAFT MIT BESCHRÄNKTER HAFTUNG|404131.28058033006|416126.7969821|365782.06674090005|378604.82572425|402630.56225319|400824.63134560006|498005.16177022|531971.2812029601|280536.43655364006|1560682.6|1459919.0|1371405.0|1373980.2|1376271.0|1462387.5|1671687.5999999999|1973546.4000000001|1518398.5999999999|173989.12710022257|150229.19002896582|142401.5222237022|151661.2758503463|146615.393049883|156236.1814148777|157364.94768572052|181565.45720259284|143046.01286352111|1086233.8723933275|1029018.355312419|871398.9248568605|799666.1069077604|760298.5009863251|760283.4681704778|764829.4184449409|675844.4360765531|235661.14095992953|1486085.0800164484|1375498.5376346887|1194805.3611351573|1077106.2712940623|1047559.8744078497|1052628.2084628034|1072752.5319691836|1015607.895638932|479521.1774828872|1963
5|23|JANSSEN CILAG GMBH|41805.51498217|60271.834070119985|31149.474279299997|32436.12425196001|34438.30188045|42927.10400000001|128354.261|63202.702000000005|59501.566000000006|1233632.6|1117485.0|1068389.7999999998|1105471.2|1103108.0|1069817.7000000002|1079522.4|1109539.2|1233781.5999999999|146276.53447340344|133423.41201357232|112061.78854194445|116476.55333055618|130810.01402052584|103904.81864882047|87500.66624427272|91626.4238332796|93852.16197183098|1076716.110209656|797070.927852352|661055.8296371526|583763.4706041182|586266.5224266867|529367.503167756|456470.03733946814|331196.5329012641|274721.3732394366|1409208.031659957|1096296.7018952211|889671.18021971|780210.6392667303|788193.4802827598|719727.2733510513|630508.5408734843|495830.857969686|449269.62676056335|1958
6|26|STO SE & CO. KGAA|275162.5619682001|272274.14542401995|260829.17928576|237722.12610309|233366.47687241997|214745.74689200002|214497.72822445002|213000.04536582|184828.14287778002|6755544.8|6695761.0|6705517.399999999|6408851.399999999|6285363.0|6013337.4|5909861.1|5841007.2|5416989.6|347540.8788851446|339452.2638516913|348445.3453162462|324029.77621864947|313271.7442289483|303637.7070477427|293758.8249733329|282673.1572066638|265295.1615075352|594986.1054016299|557496.9792270112|528196.737683091|534630.4474627132|555266.0063977984|534506.9736378648|533581.3694499214|525504.0308744861|452123.71126760554|1314514.1339274892|1268622.8829826987|1229034.3048635193|1216451.1712590659|1229781.0860935291|1192098.7859012894|1169412.3658519043|1150888.312800047|1034652.3478945773|1835
7|29|BRISTOL-MYERS SQUIBB GMBH & CO. KGAA|2164.3775918|1220.3488927600001|1181.85744852|835.6937611500001|468.03621329999993|786.5655976000002|1377.05120499|2047.14831848|1977.8910321600001|1051792.8|988092.0|906433.3999999999|809456.4|711008.0|917729.4|956372.9999999999|988764.0|999469.0|91335.18650661875|85452.21461557531|75218.92915446097|71844.26226814456|65093.86350391944|70825.33039026297|75237.56290771227|75167.21331690197|75963.79481387323|896949.2505467433|654022.1647239901|514115.8278195756|255443.16669944255|167770.0064223349|126416.4292006276|118029.16669857911|101697.88224521624|112901.82861366196|1216386.7513935745|981661.2630141488|788090.3470406153|486784.8603749704|377099.4214160073|269720.4618435654|219605.16049255087|195580.07712275462|194358.82610183096|1874
8|37|CLARIANT PLASTICS & COATINGS (DEUTSCHLAND) GMBH|201283.77800000002|189284.21799999996|183260.52|8816.094000000001|9627.902999999998|9738.032000000001|11178.572|11812.848|12361.786|2527442.4|2491142.0|2522079.0999999996|547496.4|572466.0|592754.4|636708.6|666254.4|701614.0|182424.0730083045|173182.15674915112|168749.0013315585|35101.07491042425|34086.51228638801|33759.78802336591|36299.675871874846|35484.8971606499|38007.591549295765|433058.6204061513|422989.32384341495|374566.57789613976|65787.51770685798|66290.80364540181|67043.15009903525|71734.85425691705|77826.56829572693|79706.6056338028|942273.7811395248|926998.2620210181|863057.2569906819|140933.25556203697|140332.28784471532|141480.10374687225|148931.20211548303|158517.92462596198|166503.30281690139|1905
9|39|JOHNSON & JOHNSON MEDICAL GMBH|230342.16959799003|165929.70471876|130288.81587192001|117063.16311774001|197629.194783|182152.68778688004|133399.33509264|134881.22995726002|124776.47016744001|2561455.6|2523817.0|2646158.5999999996|2762368.1999999997|2681964.0|2604999.6|2436786.0|2615911.2|2750856.4|201941.9551097598|186687.74311015414|194722.37017310318|212637.2802266485|195688.9140271493|150533.21912638543|130308.65613431661|168628.6589906936|138726.83299295773|486232.343994082|488609.4512952065|506324.90013315744|447612.6989417564|389503.7464606644|256874.35329743967|280457.734448667|289260.4429623408|274332.92412204226|901683.3651007182|902412.7769461196|912371.0765213082|869719.8406466157|816865.7033598877|596006.2297872686|517317.51520581363|521458.9654451639|497500.6569341549|1956
